"Original file name","Coded name"
ZINC00296169.pdb,ligand_153698eba3
ZINC00296171.pdb,ligand_1a14893726
ZINC01595433.pdb,ligand_d6ba968dbe
ZINC06442867.pdb,ligand_a8294a0a1c
ZINC19428852.pdb,ligand_a13603ff4a
ZINC22129820.pdb,ligand_07937df439
ZINC22129821.pdb,ligand_246295c4f9
ZINC22129822.pdb,ligand_58672ea592
ZINC41284889.pdb,ligand_b7e5dce9e2
ZINC41465943.pdb,ligand_9bb265fe2c
ZINC41517858.pdb,ligand_acbff919f8
ZINC41517861.pdb,ligand_2c545ef4c1
ZINC49992032.pdb,ligand_6d36e4b4cc
ZINC95932479.pdb,ligand_97f425cd0
ZINC95932480.pdb,ligand_db94918635
